item_id,stat,min_level,value
dark_marble,dark_marble_damage,1,1.0
dark_marble,dark_marble_damage,2,2.0
dark_marble,dark_marble_damage,3,3.0
dark_marble,dark_marble_damage,4,4.0
bomb_marble,explosion_damage,1,4.0
bomb_marble,explosion_damage,2,6.0
bomb_marble,explosion_damage,3,8.0
bomb_marble,explosion_radius,4,75.0
bomb_marble,explosion_effect_scale,4,4.0
green_marble,poison_max_stacks,1,10.0
green_marble,poison_max_stacks,2,15.0
green_marble,poison_max_stacks,3,20.0
green_marble,poison_max_stacks,4,20.0
green_marble,poison_stacks_per_hit,4,2.0
brown_marble,echo_bonus_damage,1,2.0
brown_marble,echo_bonus_damage,2,4.0
brown_marble,echo_bonus_damage,3,8.0
brown_marble,echo_flipper_speed_multiplier,4,2.0
blue_marble,blue_frost_duration,1,4.0
blue_marble,blue_frost_duration,2,4.0
blue_marble,blue_frost_duration,3,4.0
blue_marble,blue_frost_bonus_damage_enabled,2,1.0
blue_marble,blue_frost_stacks_per_hit,4,2.0
fire_marble,fire_burn_max_stacks,1,10.0
fire_marble,fire_burn_max_stacks,2,15.0
fire_marble,fire_burn_max_stacks,4,20.0
fire_marble,fire_burn_damage_per_layer,3,2.0
assassin_marble,assassin_segment_damage,1,1.0
assassin_marble,assassin_segment_damage,2,2.0
assassin_marble,assassin_segment_damage,3,3.0
assassin_marble,assassin_segment_damage,4,3.0
lightning_marble,lightning_discharge_damage_per_stack,1,2.0
lightning_marble,lightning_discharge_damage_per_stack,2,3.0
lightning_marble,lightning_discharge_damage_per_stack,3,4.0
lightning_marble,lightning_discharge_damage_per_stack,4,4.0
lightning_marble,lightning_repeat_arc_stacks,4,2.0
