keys,en,zh_CN
TERM_BURN_NAME,Burn,燃烧
TERM_BURN_DESC,"Takes fire damage each second equal to burn stacks then loses 1 burn. Ends at 0 burn.","每 1 秒按燃烧层数造成火焰伤害并消耗 1 层，燃烧归零时结束。"
TERM_LIGHTNING_CHAIN_NAME,Lightning Staff,闪电法杖
TERM_LIGHTNING_CHAIN_DESC,"Hitting a charged enemy discharges and branches to nearby enemies, applying Arc.","闪电弹珠命中带电敌人引发放电时，向附近敌人传导并施加电弧。"
TERM_ARC_NAME,Arc,电弧
TERM_ARC_DESC,"A 5-second stacking charge; hitting a charged enemy discharges all stored stacks.","持续 5 秒、可叠加的电荷；命中带电敌人放电时释放全部层数。"
TERM_ECHO_NAME,Echo,回响
TERM_ECHO_DESC,"Enemy hits charge the flippers; launching with charge triggers a Power Strike; multi-layer charge launches give a bigger bonus.","命中敌人为挡板蓄力；带蓄力弹起触发强力击；多层蓄力发射获得更大加成。"
TERM_POWER_STRIKE_NAME,Power Strike,强力击
TERM_POWER_STRIKE_DESC,"A flipper launch that consumes charge: boosts marble speed and arms Echo bonus damage on the next enemy hit.","挡板带蓄力弹起弹珠时触发：提升球速，下次命中附加回响伤害。"
TERM_PIERCE_NAME,Pierce,穿透
TERM_PIERCE_DESC,"While piercing, the marble passes through enemies instead of bouncing off. Each enemy passed takes a full hit; pierce hits benefit from Power Strike exactly like normal hits.","穿透期间弹珠穿过敌人而非弹开，每穿过一名敌人造成一次完整命中；穿透伤害与普通命中一样享受强力击加成。"
TERM_POISON_NAME,Poison,中毒
TERM_POISON_DESC,"Each layer deals 1 poison damage per second for 5 seconds. Applying it again refreshes the 5-second timer.","每层每秒造成 1 点毒素伤害，持续 5 秒，再次施加会刷新持续时长。"
TERM_INFECTION_NAME,Infection,感染
TERM_INFECTION_DESC,"Triggers at 10 poison stacks. Permanently marks the target without direct damage until it dies.","目标中毒达到 10 层时触发；永久标记目标且不直接造成伤害，直至目标死亡。"
TERM_PLAGUE_NAME,Plague,瘟疫
TERM_PLAGUE_DESC,"When an infected enemy dies it immediately releases 1 fly.","带感染标记的敌人死亡时触发；立即释放 1 只苍蝇。"
TERM_FLY_NAME,Fly,苍蝇
